cruise_name,Profile_ID,Canister,Station,Latitude,Longitude,depth,date_local,In_water_time_local,In_water_DateTime_UTC,particles_per_L,snow_bin_0_0_to_0_5,snow_bin_gt_0_5_to_1_0,snow_bin_gt_1_0_to_1_5,snow_bin_gt_1_5_to_2_0,snow_bin_gt_2_0_to_2_5,snow_bin_gt_2_5_to_3_0,snow_bin_gt_3_0_to_3_5,snow_bin_gt_3_5_to_4_0,snow_bin_gt_4_0_to_4_5,snow_bin_gt_4_5,phaeo_bin_0_0_to_0_5,phaeo_bin_gt_0_5_to_1_0,phaeo_bin_gt_1_0_to_1_5,phaeo_bin_gt_1_5_to_2_0,phaeo_bin_gt_2_0_to_2_5,phaeo_bin_gt_2_5_to_3_0,phaeo_bin_gt_3_0_to_3_5,phaeo_bin_gt_3_5_to_4_0,phaeo_bin_gt_4_0_to_4_5,phaeo_bin_gt_4_5
IVARS 1-1,G,G,2,-76.987,171.935,213.09,2001-12-20,,,1.68,0.22,1.12,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,212.99,2001-12-20,,,2.12,0.67,0.89,0.22,0.34,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.32,2001-12-20,,,1.45,0.45,0.56,0.11,0.34,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,212.9,2001-12-20,,,2.01,0.34,1.45,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.32,2001-12-20,,,2.01,0.34,1.12,0.34,0.11,0.0,0.0,0.11,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.32,2001-12-20,,,2.12,0.45,1.56,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,212.96,2001-12-20,,,1.79,0.22,1.12,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.2,2001-12-20,,,1.9,0.22,1.34,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.25,2001-12-20,,,2.79,0.22,1.79,0.56,0.11,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,212.97,2001-12-20,,,0.67,0.34,0.0,0.22,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,212.9,2001-12-20,,,2.23,0.45,1.12,0.34,0.11,0.22,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,212.9,2001-12-20,,,2.01,0.22,1.56,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.1,2001-12-20,,,2.68,0.56,1.68,0.11,0.22,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.17,2001-12-20,,,1.12,0.22,0.56,0.22,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.02,2001-12-20,,,1.23,0.22,0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,212.9,2001-12-20,,,3.8,0.56,2.79,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,212.9,2001-12-20,,,2.23,0.22,1.34,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.32,2001-12-20,,,1.23,0.22,0.67,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,213.32,2001-12-20,,,1.34,0.22,0.89,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
