cruise_name,Profile_ID,Canister,Station,Latitude,Longitude,depth,date_local,In_water_time_local,In_water_DateTime_UTC,particles_per_L,bin_0_0_to_0_5,bin_gt_0_5_to_1_0,bin_gt_1_0_to_1_5,bin_gt_1_5_to_2_0,bin_gt_2_0_to_2_5,bin_gt_2_5_to_3_0,bin_gt_3_0_to_3_5,bin_gt_3_5_to_4_0,bin_gt_4_0_to_4_5,bin_gt_4_5
IVARS 4-2,2005-01-30,,Xip,-77.668,180,78.21,2005-01-30,,,11.43,0.0,0.74,2.21,4.06,2.58,1.47,0.37,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,80.12,2005-01-30,,,11.8,0.0,0.37,2.21,4.06,2.95,1.11,0.74,0.0,0.37,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,81.66,2005-01-30,,,11.43,0.0,0.37,3.32,3.69,1.84,0.74,1.11,0.37,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,83.46,2005-01-30,,,6.27,0.0,0.0,1.47,2.21,1.84,0.37,0.0,0.0,0.37,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,85.23,2005-01-30,,,13.64,0.0,0.74,1.47,4.79,2.95,2.21,1.11,0.0,0.37,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,86.96,2005-01-30,,,10.69,0.0,0.0,1.47,4.06,3.69,1.11,0.0,0.0,0.37,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,88.86,2005-01-30,,,5.16,0.0,0.0,1.47,1.47,0.74,0.37,1.11,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,90.19,2005-01-30,,,0.74,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,92.26,2005-01-30,,,3.32,0.0,0.0,0.74,1.84,0.37,0.37,0.0,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,93.92,2005-01-30,,,1.11,0.0,0.0,0.0,0.37,0.37,0.37,0.0,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,95.56,2005-01-30,,,4.42,0.0,0.0,1.11,0.74,1.47,0.74,0.37,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,97.12,2005-01-30,,,0.37,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,100.74,2005-01-30,,,1.47,0.0,0.0,0.74,0.37,0.37,0.0,0.0,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,102.46,2005-01-30,,,2.95,0.0,0.0,0.0,1.11,0.37,0.37,1.11,0.0,0.0,0.0
